,pageid,KeyBERT_keywords
0,2677,"[('kanada', 0.0004761904761904756), ('kanadiern', 0.001517236815986237), ('kanalbau', 0.002064227265709433), ('territorialregierungen', 0.0032618716778049805), ('canadiana', 0.003347890337237258), ('inuit', 0.0034625818831469602), ('nördlichsten', 0.0036280023820551843), ('bundeshauptstadt', 0.004225721784776903), ('unabhängigkeitserklärung', 0.004982244866450517), ('paläoindianischen', 0.00516310461192351)]"
1,490244,"[('philosophisches', 0.00047619047619047673), ('philosophiezeitschriftenmediensammlung', 0.0006412125733274565), ('philosophieforschungsfragefrauen', 0.0013171249985871403), ('philosophyhandwörterbuch', 0.002228137397850192), ('wissenschaftsdisziplinen', 0.00279328156612752), ('existenzialismus', 0.0029040498231098755), ('epistemologische', 0.0035460535982729203), ('sonstigesdeutschlandfunk', 0.003919048749335955), ('methodisch', 0.00429656505374521), ('orientierungsmöglichkeiten', 0.004685384241520012)]"
2,3221050,"[('moskau', 0.0004761904761904756), ('moskausmoskoviumklaus', 0.0013196201589616874), ('leningradskaja', 0.0016708838150805217), ('oströmischen', 0.002452792744520187), ('wochenzeitungen', 0.002589726034193631), ('europas', 0.0027326129451572243), ('olympiastadions', 0.0029191597455819162), ('stuttgart', 0.003064031196975561), ('schießsportplätze', 0.0032505779974002515), ('museen', 0.004054316871570466)]"
3,1200964,"[('australiens', 0.00047619047619047673), ('australien', 0.0006219442445711331), ('australis', 0.000658843932768769), ('auslandsstudenten', 0.001773214516337337), ('ausnahmslos', 0.0018082692201250893), ('flinders', 0.0023193299016623305), ('auseinandersetzungen', 0.0025333480932086118), ('aboriginal', 0.002537038062028375), ('papua', 0.003219682293684618), ('nationalstaates', 0.0045868157414069854)]"
4,880316,"[('finnland', 0.0004761904761904756), ('finnlandisierung', 0.0006997000698467481), ('finnlandschweden', 0.0007177780516865939), ('finnlandschwedische', 0.0011401454455811655), ('finnlandschwedischen', 0.0012732651300382091), ('finland', 0.00143596696659682), ('finnen', 0.0018041004149718565), ('finnischstämmige', 0.0021903118451867365), ('finnische', 0.0022001725625539247), ('finnischsprachigen', 0.0023464398701672205)]"
5,1428,"[('enzyklopädischen', 0.0004761904761904756), ('enzyklopädische', 0.0005367552426375954), ('enzyklopädismus', 0.0005382693617987733), ('enzyklopädisches', 0.0007351048527519111), ('enzyklopädist', 0.0009909909909909908), ('enzyklopädischer', 0.0010833522598228484), ('enzyklopädie', 0.001213566507684154), ('enzyklopädisten', 0.0014346279052161403), ('enzyklopädisch', 0.0015027632674691493), ('encyclopedie', 0.005481868423044893)]"
6,2391,"[('indien', 0.00047619047619047673), ('bhutan', 0.002990727644192991), ('länderinformation', 0.00306930693069307), ('mangrovenbestände', 0.0032893289328932897), ('indonesien', 0.0034916705956309925), ('sanskritunterricht', 0.0035682853999685683), ('ariden', 0.003733301901618734), ('bombay', 0.003908140814081409), ('auslandsindern', 0.004183168316831684), ('megadiversitätsländern', 0.00474893917963225)]"
7,29938,"[('afrikanische', 0.00047619047619047673), ('transvaal', 0.0007278148320493593), ('apartheidsregierung', 0.0007381555590024646), ('pretoria', 0.001060441549040897), ('afrikameisterschaft', 0.001275873360563915), ('apartheidgesichtspunkten', 0.0013448115402512806), ('südafrikaners', 0.002194474604898058), ('afrikaanssprachiger', 0.00224100787618703), ('regionalplanungen', 0.0026994467711080094), ('industrieansiedlungen', 0.0038834600072385093)]"
8,290,"[('argentinischen', 0.0004761904761904756), ('argentiniens', 0.0010596026490066223), ('argentiniern', 0.0010648586145274874), ('argentinien', 0.0013714566032446817), ('argentinische', 0.0018620133851921915), ('argentum', 0.001965380707102561), ('buenos', 0.0029937979606853783), ('falklandinseln', 0.0034282911104103154), ('uruguay', 0.003911839938330004), ('plata', 0.004423420582360979)]"
9,16565,"[('einwohnergleichwerten', 0.0004761904761904778), ('frankfurt', 0.0009867053420352923), ('nibelungenplatz', 0.002379018612521151), ('zeitungsstädte', 0.0026033357505438727), ('bundeshauptstadt', 0.0027619047619047623), ('naziherrschaft', 0.003007493352671019), ('anhaltenden', 0.0032820884699057296), ('mainbrücken', 0.003434856175972928), ('1874', 0.0037984046410442364), ('1393', 0.00473434856175973)]"
10,1084,"[('einwohnerzahl', 0.0004761904761904778), ('sächsisches', 0.0016303645203900974), ('landschaftsbestandteile', 0.0025503311692570006), ('saxony', 0.002591551670835559), ('großstädte', 0.0028501166352828764), ('stahlfachwerkbrücke', 0.002960662525879918), ('landgraben', 0.003029987914898401), ('gesamtbauwerks', 0.003127418191356811), ('viertelmeilensteins', 0.0032510796960924836), ('forschungseinrichtungen', 0.00431344444132168)]"
11,18559,"[('konsumgüterbeschriftungen', 0.00047619047619047673), ('平仮名', 0.0012146125004299823), ('japanisches', 0.0015333723183470372), ('漢字', 0.0023887493836927997), ('handschriftlich', 0.0024483735222959892), ('hiragana', 0.002686870076708747), ('schriftkultur', 0.0027831859929139014), ('grasschrift', 0.003095066102530587), ('sanskrit', 0.003257885865639297), ('はねだ', 0.004562737206609106)]"
12,27231,"[('blattstieles', 0.0004761904761904756), ('blattprimordiums', 0.0005737358957764727), ('blattrandes', 0.0006075016179408532), ('blattende', 0.0006637778215481593), ('blättern', 0.0010333248919027927), ('blattanatomie', 0.001083973475149367), ('blattfunktionen', 0.0011683877805603237), ('blattanlagen', 0.001290319555042817), ('blattdimorphismus', 0.0023726985377566434), ('protolepidodendrales', 0.004357372651640921)]"
13,11281,"[('blütenteile', 0.00047619047619047673), ('blütenorganisations', 0.0005554968101230129), ('blütenachse', 0.0006101300623876494), ('blütenstände', 0.000673575129533679), ('blütenachseevolution', 0.0009114941313312885), ('blütenpflanzen', 0.001047196080504741), ('blütenhormon', 0.0012674914525395652), ('blütenorganidentitätsgene', 0.00178915089351803), ('blühzeitpunkt', 0.0018578830495928943), ('blumen', 0.001954813013288217)]"
14,2996,"[('leipzigkreisreformen', 0.00047619047619047673), ('einwohnerreichste', 0.0007093208997107448), ('einwohnerverteilung', 0.0010944178215257082), ('bundesgerichtshofes', 0.002009670595346026), ('stuttgart', 0.0026693433493070852), ('mittelstädte', 0.002688339161593921), ('sächsisches', 0.0028230367396278543), ('eisenbahnbrücken', 0.00321158744549497), ('klosterschule', 0.0032668479903294047), ('abgegeben', 0.0033411043474506764)]"
15,507246,"[('petersburgische', 0.00047619047619047673), ('petersburg', 0.0006159343380740123), ('petersburgs', 0.0010440104719450938), ('leningradskaja', 0.0021495789995047065), ('petersburgpetersburger', 0.0022061841081157585), ('leningrads', 0.0022592513974386197), ('petersburgensis', 0.0024768272836623506), ('oblast', 0.002710323356682941), ('russlands', 0.0035275596122550067), ('судостроительный', 0.0045906743083563295)]"
16,13786,"[('東城區', 0.0004761904761904778), ('beijing', 0.0007351815880864099), ('yanjing', 0.0011491749563443021), ('chiang', 0.0013493044519002496), ('wěiyuánhùi', 0.0018614005140581169), ('pekingxiaoli', 0.0018986795377401078), ('xicheng', 0.001908489807130105), ('chinesische', 0.002836541291423864), ('北京外国语大学', 0.0028640100457158557), ('einwohnergemeinschaften', 0.003434967724213708)]"
17,1192349,"[('badmintonspezifische', 0.00047619047619047673), ('badmintonball', 0.0006114614751850855), ('badmintonsports', 0.0008253358925143961), ('badmintonspielers', 0.0011105017822868114), ('badmintontrainingbadminton', 0.0014084635773695287), ('badmintonspielfeld', 0.001664381683575542), ('ballgeschwindigkeit', 0.0034064527922493372), ('spielball', 0.0034887121835298416), ('balles', 0.0035197879535691446), ('schulsport', 0.003907321085823966)]"
18,14896,"[('instrumentepositiv', 0.00047619047619047673), ('orgelpfeifen', 0.0008919035457229108), ('lippenpfeifen', 0.001553064225458004), ('orgelwindes', 0.001725540924519333), ('musikinstrumente', 0.0020019458909637687), ('tonventile', 0.0026122480568730867), ('tonerzeugung', 0.002652050372041086), ('orgelbauerorgelregister', 0.002722810043450862), ('labialen', 0.002778091036739749), ('flaschenorgelelektronische', 0.003129678154057074)]"
19,639,"[('bonn', 0.00047619047619047673), ('bundeshauptstadt', 0.000529476262207056), ('bundesstraßen', 0.0015787963560720186), ('bundespressekonferenz', 0.0018780165390881987), ('städteplatzierungen', 0.0019395001383380984), ('bonnbuchverlag', 0.002306352280529169), ('deutschland', 0.003333128388002501), ('1967neben', 0.0035032330125938905), ('einwohnerentwicklung', 0.003781958662526771), ('1947', 0.005163290192341193)]"
20,490101,"[('mainzsinfonisches', 0.0004761904761904778), ('mainzwirtschaft', 0.0006454783748361736), ('mainzliteratur', 0.0006618610747051123), ('mainzelbahn', 0.0015246832678025347), ('stadterweiterungen', 0.002161788262705695), ('landeshauptstädte', 0.0030919615552643088), ('liegeplätze', 0.003104703655162371), ('einwohnerzahl', 0.003510630551914957), ('schöfferhof', 0.003539755351681958), ('eisenbahnbrücken', 0.0035488568516091456)]"
21,62162,"[('salzburgsalzburg', 0.00047619047619047673), ('salzburgern', 0.0006758607880012068), ('salzburgring', 0.0008229048160788777), ('salzburg', 0.0009266095516704964), ('salzburgarena', 0.0010303142872621174), ('salzburgs', 0.0012083149528298242), ('salzburgweit', 0.0013986982733935449), ('salzburger', 0.0015395509739732072), ('stadtbrücke', 0.003509940950213988), ('landesstraße', 0.0036275761726761234)]"
22,2268,"[('reichsteilen', 0.00047619047619047673), ('reichsverbandes', 0.0007678475488744907), ('reichsdeputationshauptschlusses', 0.0009761740293630705), ('reichslehen', 0.0011318706621492724), ('römische', 0.003000230255583699), ('habsburgern', 0.003258993673453725), ('regensburg', 0.00349802089843536), ('barbarossas', 0.0039059022181287904), ('1629', 0.004013354823854479), ('romanum', 0.0047019286646272605)]"
23,101972,"[('hongkongern', 0.00047619047619047673), ('中華人民共和國香港特別行政區', 0.0010206017891027375), ('opiumkriegs', 0.0012984548658172956), ('文武廟', 0.00239405439595193), ('chiang', 0.0026199512062889674), ('zhengzhou', 0.002656094695942893), ('yuan', 0.002764525164904672), ('chinesen', 0.002884250474383302), ('1849', 0.004754676063973977), ('warenumtauschplatz', 0.005407517845848016)]"
24,8787,"[('augsburgstadtlexikon', 0.00047619047619047673), ('augsburgerischen', 0.0004921214227783577), ('augsburgs', 0.0010612906963271928), ('augsburgaugsburg', 0.0011670142509558569), ('augsburgst', 0.0011887382690302384), ('augsburg', 0.0012090140192329978), ('augsburger', 0.001411771521260573), ('augsburgerisch', 0.0014465299501795848), ('augsburgreinhard', 0.0016290117020044026), ('augsburgeringünther', 0.0016521839879504107)]"
25,2655245,"[('potsdam', 0.0004761904761904756), ('potsdamlinkkatalog', 0.0015699922660479505), ('städtebaus', 0.0026343313814311486), ('einwohnerzahl', 0.002796376091039664), ('geoforschungszentrum', 0.002965786469266748), ('schlösserlandschaft', 0.0034408720951644377), ('unesco', 0.00345007918093765), ('siedlungsplätze', 0.004267668397598792), ('privatsammlungen', 0.005044746436857805), ('1541', 0.005783154715869332)]"
26,874,"[('linnæus', 0.00047619047619047673), ('linné', 0.0006607518094793374), ('linnaeaceae', 0.0006785408536517578), ('linnéschen', 0.0009075747973716696), ('linnaeus', 0.000927587472065643), ('zoologischen', 0.002175044194656617), ('naturhistorischen', 0.002452998009850684), ('naturales', 0.0030467073591052118), ('amsterdamer', 0.0035625896401054015), ('autorennamen', 0.004042893832760748)]"
