,pageid,RAKE_keywords
0,2677,"[('provinz kanada', 0.0004761904761904778), ('kanada gilt', 0.0010906298003072212), ('heutigen kanada', 0.0010906298003072212), ('kanada vertreten', 0.0013978494623655925), ('kanada erhielten', 0.0013978494623655925), ('heutige kanada', 0.0013978494623655925), ('kanada erhielt', 0.0017050691244239647), ('kanada 1917', 0.0017050691244239647), ('westliche kanada', 0.002012288786482336), ('name kanada', 0.002012288786482336)]"
1,490244,"[('philosophie –', 0.00047619047619047673), ('philosophie ?', 0.0006376109765940275), ('): philosophie', 0.001606133979015335), ('westliche philosophie', 0.0020903954802259893), ('theoretische philosophie', 0.0020903954802259893), ('systematische philosophie', 0.0020903954802259893), ('philosophie münchen', 0.0020903954802259893), ('philosophie betreiben', 0.0020903954802259893), ('betreiben philosophie', 0.0020903954802259893), ('begriff philosophie', 0.0020903954802259893)]"
2,3221050,"[('stadt moskau', 0.00047619047619047673), ('moskau “', 0.002455163883735313), ('moskau befindet', 0.002578849721706865), ('moskau sitz', 0.003073593073593074), ('moskau gilt', 0.003073593073593074), ('alten moskau', 0.003073593073593074), ('oblast moskau', 0.003197278911564626), ('moskau steht', 0.003197278911564626), ('moskau blieb', 0.003197278911564626), ('moskau besitzt', 0.003197278911564626)]"
3,1200964,"[('australischen regierung', 0.0004761904761904756), ('australischen bevölkerung', 0.0007647907647907648), ('kontinent australien', 0.0016305916305916302), ('australien eingeführt', 0.0016305916305916302), ('länder australien', 0.0019191919191919194), ('australien 25', 0.0019191919191919194), ('usa australien', 0.0022077922077922076), ('hauptstadt australiens', 0.0022077922077922076), ('australischen universitäten', 0.0022077922077922076), ('australischen kontinents', 0.0022077922077922076)]"
4,880316,"[('sowjetunion finnland', 0.00047619047619047673), ('finnland liegt', 0.0008045977011494265), ('republik finnland', 0.0014614121510673238), ('trat finnland', 0.0017898193760262737), ('finnland zugestanden', 0.0017898193760262737), ('finnland stellen', 0.0017898193760262737), ('finnland kamen', 0.0017898193760262737), ('finnland 19', 0.0017898193760262737), ('finnischen seen', 0.0017898193760262737), ('blieb finnland', 0.0017898193760262737)]"
5,1428,"[('brockhaus enzyklopädie', 0.00047619047619047673), ('allgemeine enzyklopädien', 0.00047619047619047673), ('enzyklopädien normalerweise', 0.000708478513356563), ('enzyklopädie geschrieben', 0.000708478513356563), ('enzyklopädien eher', 0.0009407665505226493), ('mittelalterlichen enzyklopädien', 0.0011730545876887345), ('europäische enzyklopädien', 0.0011730545876887345), ('enzyklopädien wiederum', 0.0011730545876887345), ('enzyklopädie zufolge', 0.0011730545876887345), ('eigentlichen enzyklopädien', 0.0011730545876887345)]"
6,2391,"[('indien ).', 0.00047619047619047673), ('liegt indien', 0.0013165266106442586), ('indien stellen', 0.0013165266106442586), ('indien gehören', 0.0013165266106442586), ('indien überwiegend', 0.0015966386554621859), ('indien gehört', 0.0018767507002801131), ('indien aufgrund', 0.0018767507002801131), ('verzeichnet indien', 0.0021568627450980395), ('obwohl indien', 0.0021568627450980395), ('name indien', 0.0021568627450980395)]"
7,29938,"[('südafrika 1994', 0.00047619047619047673), ('südafrika gilt', 0.0006926406926406936), ('südafrika ).', 0.0006926406926406936), ('südafrika stieg', 0.0011255411255411262), (': südafrika', 0.0011255411255411262), ('südafrika liegt', 0.0015584415584415589), ('südafrika gehört', 0.0015584415584415589), ('südafrika verfügt', 0.0017748917748917758), ('südafrika hierbei', 0.0017748917748917758), ('südafrika geschätzt', 0.0017748917748917758)]"
8,290,"[('bevölkerung (', 0.00047619047619047673), ('2 %', 0.001534391534391535), ('8 %', 0.0022398589065255737), ('zentralen argentinien', 0.002592592592592593), ('heutige argentinien', 0.002592592592592593), ('argentinien spanisch', 0.002592592592592593), ('argentinien leben', 0.002592592592592593), ('5 %', 0.002592592592592593), ('3 %', 0.002592592592592593), ('10 %', 0.002592592592592593)]"
9,16565,"[('stadt frankfurt', 0.00047619047619047673), ('frankfurt (', 0.001106442577030813), ('frankfurt befindet', 0.0019467787114845947), ('frankfurt befinden', 0.002086834733893558), ('frankfurt lag', 0.0021568627450980395), ('stadtgebiet frankfurt', 0.0022969187675070035), ('frankfurt findet', 0.0022969187675070035), ('messe frankfurt', 0.0024369747899159666), ('gehört frankfurt', 0.0024369747899159666), ('frankfurt sitz', 0.0024369747899159666)]"
10,1084,"[('stadt dresden', 0.00047619047619047673), ('dresden (', 0.0015484074424471784), ('dresden ).', 0.0021791233049511206), (': dresden', 0.0022421948912015144), ('dresden liegt', 0.0023683380637023023), ('dresden befinden', 0.002431409649952697), ('zentrum dresden', 0.002494481236203091), ('dresden 2019', 0.002557552822453485), ('gehört dresden', 0.00262062440870388), ('dresden gehört', 0.00262062440870388)]"
11,18559,"[('kanji (', 0.0004761904761904756), ('kana (', 0.0020265780730897008), ('mehreren (', 0.0026910299003322256), ('( englisch', 0.0029125138427464003), ('silbenschriften (', 0.0031339977851605762), ('meistens (', 0.0031339977851605762), ('aussprachelisten (', 0.0031339977851605762), ('( ヲ', 0.0031339977851605762), ('( ェ', 0.0031339977851605762), ('( ゥ', 0.0031339977851605762)]"
12,27231,"[('blätter –', 0.00047619047619047673), ('blätter häufig', 0.0008045977011494265), ('meisten blätter', 0.0014614121510673238), ('blätter besitzen', 0.0014614121510673238), ('blatt (', 0.0017898193760262737), ('blätter vielfach', 0.0021182266009852225), ('blätter enthalten', 0.0021182266009852225), ('blätter bestehen', 0.0021182266009852225), ('folgenden blätter', 0.0024466338259441713), ('blätter senkrecht', 0.0024466338259441713)]"
13,11281,"[('blüte (', 0.00047619047619047673), ('angiospermen :', 0.001269841269841271), ('blüten bzw', 0.0016666666666666674), ('blüten bezeichnet', 0.002063492063492064), ('männlichen blüten', 0.0024603174603174617), ('wirteligen blüten', 0.0032539682539682547), ('blüten bildeten', 0.0032539682539682547), ('zwittrige blüten', 0.003650793650793651), ('weibliche blüten', 0.003650793650793651), ('pentazyklischen blüten', 0.003650793650793651)]"
14,2996,"[('stadt leipzig', 0.00047619047619047673), ('sachsen leipzig', 0.001097308488612837), ('leipzig gegründet', 0.001149068322981367), ('leipzig 2006', 0.0014078674948240178), ('leipzig zentrum', 0.0015631469979296075), ('leipzig jährlich', 0.0015631469979296075), ('leipzig 2018', 0.0015631469979296075), ('leipzig befinden', 0.0016149068322981375), ('leipzig 2017', 0.0016149068322981375), ('leipzig 2015', 0.0016149068322981375)]"
15,507246,"[('stadt petersburg', 0.0004761904761904778), ('stadt „', 0.0009370199692780346), ('stadt –', 0.0010906298003072212), ('stadt befindet', 0.0012442396313364068), ('stadt befinden', 0.0018586789554531503), ('stadt erhielt', 0.002012288786482336), ('stadt politisch', 0.0021658986175115214), ('stadt lebten', 0.0021658986175115214), ('stadt gedreht', 0.0021658986175115214), ('stadt besitzt', 0.0021658986175115214)]"
16,13786,"[('stadt peking', 0.00047619047619047673), ('peking liegt', 0.0037728937728937727), ('peking befindet', 0.003956043956043956), ('stadt befindet', 0.004322344322344323), ('peking 1989', 0.004322344322344323), ('kommunisten peking', 0.004505494505494506), ('flughafen peking', 0.004505494505494506), ('straßenverkehr peking', 0.004688644688644689), ('peking verbindung', 0.004688644688644689), ('obwohl peking', 0.004688644688644689)]"
17,1192349,"[('badminton :', 0.00047619047619047673), ('satz gespielt', 0.0030402930402930405), ('netz gespielt', 0.0030402930402930405), ('badminton bietet', 0.0030402930402930405), ('speed badminton', 0.003406593406593407), ('deutschen badminton', 0.003406593406593407), ('ball –', 0.003406593406593407), ('übliche badminton', 0.0037728937728937727), ('österreichischen badminton', 0.0037728937728937727), ('wahrer badminton', 0.0037728937728937727)]"
