,pageid,YAKE_keywords
0,2677,"[('Kanada', 0.0005525449347212504), ('Kanadas', 0.0019441395851303252), ('Québec', 0.0027643698709133337), ('Canada', 0.0033421751420027864), ('Vereinigten Staaten', 0.003898364547912014), ('Provinz Kanada', 0.003956432196956863), ('Toronto', 0.004688041821584392), ('Vancouver Island', 0.004809625954528392), ('Ontario', 0.005431851095285672), ('Canadian', 0.006118255549307504)]"
1,490244,"[('Philosophie', 0.00024914998570791535), ('ISBN', 0.002695453603064031), ('praktische Philosophie', 0.002967257592496417), ('theoretische Philosophie', 0.0036140001557463997), ('Philosophen', 0.004107992214555074), ('politische Philosophie', 0.004358675311074751), ('Fragen', 0.0051152288633491095), ('Immanuel Kant', 0.006169463290212984), ('philosophischen', 0.006175868768510892), ('Frage', 0.008510944882800258)]"
2,3221050,"[('Moskau', 0.00024187077106055336), ('Stadt Moskau', 0.0006916144066092624), ('Stadt', 0.000809294460731868), ('Moskaus', 0.001315172317641759), ('Moskauer', 0.002496930017934165), ('ZSKA Moskau', 0.0027134469128249333), ('Roten Platz', 0.0031481051213011046), ('Dynamo Moskau', 0.0036365740589282495), ('Oblast Moskau', 0.004109000210811382), ('Zentrum Moskaus', 0.004472266848112507)]"
3,1200964,"[('Australien', 0.0006737985774128164), ('Australiens', 0.00128900597418104), ('New South', 0.002100645156385642), ('South Australia', 0.002201379632833914), ('South Wales', 0.0025082979591920674), ('Land', 0.0034325503951861394), ('australischen', 0.00366404350691211), ('Australia', 0.00399947774430679), ('australischen Kontinents', 0.0048173251231539895), ('Bevölkerung', 0.004898318913305648)]"
4,880316,"[('Finnland', 0.000695009528347298), ('Finnlands', 0.0015860473852028082), ('finnischen', 0.005473647485357885), ('Bevölkerung Finnlands', 0.005966690916516779), ('Schweden', 0.008004619063455122), ('Landes', 0.009122047209831417), ('Großfürstentum Finnland', 0.009487979897854612), ('Kirche Finnlands', 0.00949745448570955), ('Partei Finnlands', 0.009561844648280447), ('Bevölkerung', 0.011214551962537945)]"
5,1428,"[('Encyclopaedia Britannica', 0.0002828012937157844), ('Enzyklopädie', 0.0006083997529056701), ('Enzyklopädien', 0.0007411463956613379), ('Brockhaus Enzyklopädie', 0.001484905990514952), ('Encyclopaedia', 0.0020142119796040707), ('Brockhaus', 0.002021044381445931), ('Britannica', 0.002336085462737414), ('Jahrhundert', 0.0023650451029362494), ('Artikel', 0.002551441725971083), ('Werk', 0.0029263466516494816)]"
6,2391,"[('Indien', 0.0004927716727371235), ('Indiens', 0.0011607510513363354), ('Bevölkerung Indiens', 0.0022521040532824236), ('Bevölkerung', 0.004014983528493611), ('Süden Indiens', 0.004501202424263217), ('indischen Bevölkerung', 0.0047600153181414995), ('indischen', 0.004890212446121843), ('Teilen Indiens', 0.008875235882784627), ('Millionen', 0.00942818076397017), ('Land', 0.00985145273583849)]"
7,29938,"[('Südafrika', 0.00038043515456228163), ('South Africa', 0.0011100629341972105), ('Südafrikas', 0.0011413054636868448), ('Republik Südafrika', 0.0014338335371248028), ('South African', 0.0014784553631994406), ('Land', 0.0020519484257475597), ('South', 0.003419427651425637), ('Apartheid', 0.004087539811701808), ('Bevölkerung', 0.00472453805127371), ('südafrikanischen', 0.005444203367169331)]"
8,290,"[('Buenos Aires', 0.00029825358910934313), ('Argentinien', 0.001441931288989165), ('Provinz Buenos', 0.0014856262799631008), ('Buenos', 0.0028563211869663038), ('Aires', 0.0030403101119171497), ('Argentiniens', 0.003870447144128812), ('Provinz', 0.004651672079632995), ('Stadt Buenos', 0.006341100088764591), ('Bevölkerung', 0.006820306510550673), ('Río', 0.0073531566176791175)]"
9,16565,"[('Stadt Frankfurt', 2.626906686090427e-05), ('Frankfurt', 5.7773300734787324e-05), ('Stadt', 0.00026210902065748327), ('Frankfurter', 0.00031857115191683325), ('Main', 0.00039956718005718263), ('Frankfurts', 0.0006181743178622245), ('Frankfurt Main', 0.0006430315563106078), ('Millionen Euro', 0.0007023787159699856), ('Frankfurts Innenstadt', 0.002018521045320914), ('Frankfurter Stadtgebiet', 0.002019457791269981)]"
10,1084,"[('Dresden', 8.703386732442756e-05), ('Stadt Dresden', 0.00014311553973440607), ('Stadt', 0.00029501511398768695), ('Dresdner', 0.0005672883448498557), ('Dresdens', 0.0017099595109622825), ('Raum Dresden', 0.002144904142811758), ('Dresdner Heide', 0.0027488242376753702), ('Dresden befindet', 0.0030660858143171507), ('Universität Dresden', 0.0031178266027966956), ('Elbe', 0.0035048717825880895)]"
11,18559,"[('Kanji', 0.001583212942722481), ('Zeichen', 0.0042055335573185654), ('Japan', 0.00480247501129887), ('Kana', 0.006137700258314563), ('Hiragana', 0.006572148497796699), ('Schrift', 0.007247741487557443), ('Katakana', 0.0080730882627775), ('chinesischen', 0.008903694278150371), ('japanischen', 0.009672412081814106), ('chinesischen Zeichen', 0.010718615461494866)]"
12,27231,"[('Blätter', 0.0010577061081717858), ('Blättern', 0.004885714449158952), ('Organtyp Phyllom', 0.005084163052536423), ('Blatt', 0.005633410251999017), ('Leitbündel', 0.005961325836459531), ('Pflanzen', 0.006982811473778527), ('Sprossachse', 0.009542222796449581), ('meist', 0.0099063648444536), ('Blattstiel', 0.013170141110266126), ('meisten Blätter', 0.014983187730715327)]"
13,11281,"[('Blüten', 0.0017442175949091002), ('Blüte', 0.002479541336535635), ('Angiospermen', 0.0055574847784382216), ('Samenanlagen', 0.005913146691037573), ('Blütenhülle', 0.010698435793523631), ('pro Blüte', 0.012480426085325817), ('zwittrige Blüten', 0.013747991952500217), ('Fruchtblätter', 0.015821520772964493), ('meist', 0.017466599209943617), ('Gene', 0.01769064094998905)]"
14,2996,"[('Leipzig', 4.2827856167515826e-05), ('Stadt Leipzig', 4.46136995394196e-05), ('Leipziger', 0.00027216643032602157), ('Stadt', 0.0004005273976968986), ('Universität Leipzig', 0.00048087636240135115), ('Oper Leipzig', 0.0006033282857255956), ('Leipzigs', 0.0007612306047839103), ('Leipziger Messe', 0.0008162959420056127), ('Flughafen Leipzig', 0.0011322090528405053), ('Sachsen Leipzig', 0.0014284859782427706)]"
15,507246,"[('Sankt Petersburg', 2.6251364840382497e-05), ('Stadt', 0.0002894957283454874), ('Petersburg', 0.0003188285067272005), ('Sankt', 0.0005146874279275449), ('Sankt Petersburgs', 0.0007962914001582691), ('Stadt Petersburg', 0.0009518472418728011), ('Stadt Sankt', 0.002245690998249829), ('Sankt Petersburger', 0.0026344491589419773), ('Leningrad', 0.003824480854384059), ('Russischen', 0.0038441165006748877)]"
16,13786,"[('Peking', 0.0005689023947626086), ('Stadt Peking', 0.0007495162174884918), ('Stadt', 0.0008303129919259842), ('Hauptstadt', 0.002823772644925632), ('Verbotene Stadt', 0.004585443873818135), ('Volksrepublik China', 0.005016473781798335), ('China', 0.005852087911811145), ('Chinas', 0.0078027838824148614), ('Pekings', 0.008452264150758757), ('Inneren Stadt', 0.0085257197516974)]"
17,1192349,"[('Aufschlag', 0.0018857769025151965), ('Badminton', 0.002341770345347046), ('Ball', 0.002567585993252367), ('Spieler', 0.0026951870923277526), ('Netz', 0.004795285139183538), ('Doppel', 0.0055090742700985885), ('Spiel', 0.005632615612246846), ('Partei', 0.00768033774667282), ('Gegner', 0.0098082184116456), ('Punkte', 0.011211630456842049)]"
18,14896,"[('Orgel', 0.0005317382611480598), ('Orgeln', 0.0008045384334221771), ('Register', 0.0022491188197649413), ('ISBN', 0.004639407268418384), ('Pfeifen', 0.005484184743730374), ('Orgelmusik', 0.00564510461228863), ('Jahrhunderts', 0.006653512947436947), ('Jahrhundert', 0.008554516646704646), ('Instrumente', 0.01168123925918699), ('Pedal', 0.012662474636939557)]"
19,639,"[('Stadt Bonn', 5.1137450850583404e-05), ('Bonn', 8.777915671568753e-05), ('Stadt', 0.0005445024120345111), ('Bonner', 0.0006904637686238612), ('Bundesstadt Bonn', 0.0007945305895202658), ('Bad Godesberg', 0.0009735602765890851), ('Bonner Stadtgebiet', 0.0015410254759258089), ('Bonns', 0.0020832919860523176), ('Universität Bonn', 0.0026922419961056153), ('Bundesrepublik Deutschland', 0.003140856846478324)]"
20,490101,"[('Stadt Mainz', 3.496973093123395e-05), ('Mainz', 8.889002425830837e-05), ('Stadt', 0.0003457584604088715), ('Mainzer', 0.00038882336525894847), ('Mainz Stadt', 0.00150369843004306), ('Bistums Mainz', 0.0023354982040745043), ('Gemeinde Mainz', 0.0032004414344231997), ('Mainzer Dom', 0.0033100131817188883), ('Schott Mainz', 0.0034554056736932444), ('Bistum Mainz', 0.004670996408149009)]"
21,62162,"[('Stadt Salzburg', 3.599664543637121e-05), ('Salzburg', 9.908855508355545e-05), ('Stadt', 0.0003318813865422786), ('Land Salzburg', 0.0004946778449698858), ('Salzburger', 0.0005707819901274826), ('Salzburg Museum', 0.000895470167235495), ('Landes Salzburg', 0.0012865422590814907), ('Salzburg Stadt', 0.001367872526582106), ('Salzburgs', 0.001569771320007905), ('Salzburger Festspiele', 0.0016009196330862862)]"
22,2268,"[('Reich', 0.00019179839811869296), ('Kaiser', 0.00035438379071486565), ('Römische Reich', 0.0003781130839414591), ('Reiches', 0.00041347102206310265), ('Römisches Reich', 0.0006049809343063345), ('Römischen Reiches', 0.0008841063263974234), ('Kaisers', 0.001354996846850957), ('Kaiser Karl', 0.0013843086509158964), ('Römischen Reich', 0.0015300429744514537), ('König', 0.0015730369251146829)]"
23,101972,"[('Hongkong', 0.00038594115821716143), ('Hong Kong', 0.0004090957489139971), ('Volksrepublik China', 0.000941012199513394), ('Hongkongs', 0.0011320940641036735), ('Kong Island', 0.0015874045017858478), ('China', 0.001918979131273578), ('New Territories', 0.0023682531996029525), ('Sonderverwaltungszone Hongkong', 0.0031376120361209215), ('Kong', 0.003353243584102276), ('Hong', 0.00343650940678948)]"
24,8787,"[('Stadt Augsburg', 3.147077201842658e-05), ('Augsburg', 4.7947852794318114e-05), ('Stadt', 0.0001937505127153568), ('Augsburger', 0.0003681379635556042), ('Landkreis Augsburg', 0.0006077420152561815), ('Universität Augsburg', 0.0006602374484811567), ('Augsburgs', 0.000863061350297726), ('Augsburg Stadt', 0.0008811816165159443), ('Hochschule Augsburg', 0.0009131794256116234), ('Schwaben Augsburg', 0.0009393356631611216)]"
25,2655245,"[('Stadt Potsdam', 0.00012653140215547636), ('Potsdam', 0.00020241750144708555), ('Stadt', 0.0006109960835854245), ('Universität Potsdam', 0.0020585452436613512), ('Friedrich Wilhelm', 0.002106588481773512), ('Berlin', 0.0022677887401800034), ('Potsdam Stadt', 0.0024040966409540508), ('Potsdams', 0.0029205953780222344), ('Potsdamer', 0.0030041618484081285), ('Stadtgebiet Potsdams', 0.0033312567078952224)]"
26,874,"[('Linné', 0.0008120438042648609), ('Linnés', 0.0035188564851477305), ('Pflanzen', 0.0038541823052361574), ('Lars Salvius', 0.00546576939541469), ('Carl', 0.006003295406598251), ('Systema Naturae', 0.006034354887607731), ('Stockholm', 0.0061723520112755125), ('Linnaeus', 0.006529217597720584), ('Universität Uppsala', 0.007476440927121202), ('Plantarum', 0.008066559966663285)]"
27,3733,"[('Olympischen Spiele', 8.298389595050801e-05), ('Olympische Spiele', 0.00044075329647317067), ('Spiele', 0.0006249077687658346), ('Olympischen', 0.0006440103697619166), ('Olympischen Spielen', 0.000696677600243592), ('IOC', 0.0012444081530617204), ('Olympische', 0.0021692785497408134), ('Olympischen Sommerspiele', 0.0030548426940103074), ('Athleten', 0.0030716634605769894), ('olympische Bewegung', 0.004038540169091056)]"
28,2501,"[('Goethe', 0.00010496082120014801), ('Goethes', 0.0002611425231459683), ('Goethes Leben', 0.0005972617309567562), ('Goethes Werk', 0.0011239986070894934), ('Goethe Schillers', 0.0018740590777278022), ('Goethes Tod', 0.0019887165241168733), ('Goethes Dichtung', 0.0021045795904365756), ('Werk Goethes', 0.002247997214178987), ('Wilhelm Meisters', 0.002365059973159165), ('Carl August', 0.002471629728171436)]"
29,60100,"[('Stadt Braunschweig', 0.0004169297862824389), ('Braunschweig', 0.0007232211916215734), ('Stadt', 0.0012073159808879276), ('Landkreis Braunschweig', 0.008542639915574501), ('Braunschweiger', 0.008719086746721198), ('Herzogtum Braunschweig', 0.010425536787420316), ('Rat', 0.013742706243174065), ('Stadtgebiet Braunschweig', 0.015400554301357925), ('Braunschweig führte', 0.0168421440219918), ('Freistaat Braunschweig', 0.018027533729389963)]"
30,51610,"[('Montreal', 0.0003982332350097882), ('Stadt Montreal', 0.000713623176680828), ('Stadt', 0.00105757030059112), ('Montréal', 0.0011548683882411058), ('Provinz Québec', 0.0015912180139491174), ('Montreals', 0.0026409151374333327), ('Mont Royal', 0.002643131093511804), ('Verwaltungsregion Montreal', 0.002671489265670318), ('Île', 0.003658125165784616), ('Québec', 0.003915103043305647)]"
31,826909,"[('Deutschen Bundestag', 0.00024138742060658973), ('Bundestag', 0.00024582174807428857), ('Deutschen Bundestages', 0.00033372337092891043), ('Bundestages', 0.0006519791959450292), ('Deutsche Bundestag', 0.0013827266701097515), ('deutschen', 0.0018165602047551929), ('Bundestag vertreten', 0.0020024130306214986), ('Abgeordneten', 0.0025581776937751537), ('Bundesregierung', 0.0029394216177913777), ('Fraktion', 0.0032478813149596957)]"
32,106547,"[('Kaiser Wilhelm', 0.0006892584893716069), ('deutschen Kaiserreich', 0.0008241029073372438), ('Deutsche Reich', 0.0010261431709103687), ('Deutschen', 0.0010335832794355663), ('Kaiser', 0.0012430455029525309), ('Deutschland', 0.0014006133121843253), ('Bismarck', 0.0014961841562195237), ('Reich', 0.0015959182557993314), ('Regierung', 0.001715585175849269), ('Kaiserreich', 0.0017394635442482902)]"
33,31818,"[('Toronto', 0.00017632010756649588), ('Stadt Toronto', 0.0007167486421195272), ('Stadt', 0.0012785751110528727), ('Toronto City', 0.0013941421374911475), ('New York', 0.0016069152318548123), ('York', 0.002160191341404771), ('Toronto Islands', 0.0027791568104874012), ('Torontos', 0.003022630415425643), ('Toronto Area', 0.003048147496134254), ('Street', 0.003931405401094292)]"
34,8531,"[('Ghana', 0.0019407100602490757), ('Prozent', 0.0021271210509558477), ('Ghanas', 0.0035285637459074107), ('Land', 0.005782376746019613), ('heutigen Ghana', 0.008253083907098988), ('Landes', 0.008655858644496845), ('Accra', 0.01025009776721826), ('Regenwald', 0.011617533604128994), ('Bevölkerung', 0.011737017927444453), ('Rawlings Ghana', 0.012667534682885354)]"
35,5716,"[('Stadt Wiesbaden', 0.00012056124519783488), ('Wiesbaden', 0.0001619975252128937), ('Stadt', 0.0006756608676634005), ('Landeshauptstadt Wiesbaden', 0.0010441166563033817), ('Wiesbadener', 0.0014404595814754067), ('Wiesbadens', 0.002684530417813667), ('Wiesbadener Innenstadt', 0.002729933339387162), ('Hessische', 0.003528102421592838), ('Stadt Mainz', 0.0036519293760231882), ('Innenstadt', 0.004097728620983532)]"
36,12049,"[('Stadt Regensburg', 3.1433487444658336e-05), ('Regensburg', 7.687264226616953e-05), ('Stadt', 0.00018037977302668305), ('Universität Regensburg', 0.0008810634566410255), ('Stadt Regensburgs', 0.0010058715982290667), ('Regensburger', 0.0011956608877247902), ('Bistum Regensburg', 0.0018068708954531191), ('Regensburgs', 0.002009670504958432), ('Kaiser', 0.0033075528674166438), ('Regensburger Juden', 0.00359869042821086)]"
37,49277,"[('Seoul', 0.00036696136650004604), ('Stadt', 0.001692954871733813), ('Seouls', 0.0018348068325002302), ('Stadt Seoul', 0.002271620321922685), ('Hauptstadt', 0.0032906186945901353), ('Zentrum Seouls', 0.004754372452075892), ('Seoul befindet', 0.005695550861427128), ('Korea', 0.005932779868320788), ('Seoul Metropolitan', 0.00796274814770955), ('Seoul National', 0.008375133383783703)]"
38,14174,"[('Rostock', 0.0002280398088260295), ('Stadt Rostock', 0.000360403897135698), ('Hansestadt Rostock', 0.0007257446256933186), ('Stadt', 0.0007476463587678684), ('Universität Rostock', 0.0009889346552041244), ('Rostocker', 0.001001328123805595), ('Rostocks', 0.0022803980882602952), ('Warnemünde', 0.0028172368331213144), ('Rostocker Heide', 0.0038172507566581154), ('Stadtgebiet Rostocks', 0.0042304482748364595)]"
